Basketball Still Open,Borough,ClosureType,EditDate,GISpropNum,Handball Still Open,MPPA Still Open,OMPpropID,Red Sign Installed,Status,Tennis Still Open,accessibility,accessibilityLevel,location,name,point,rules,system,Zip Codes,Community Districts,Borough Boundaries,City Council Districts,Police Precincts
,R,Completely Locked,05/21/2020 11:10:19 AM,R038,,,R038,,COVID-19 Closure,,,,"Lincoln Ave., Mason Ave., Midland Ave., Poultney St.",Midland Playground,POINT (-74.098808665886 40.574900248794975),,,"10,693",30,1,14,76
,B,Completely Locked,05/21/2020 11:06:14 AM,B223JB,,,B223JB,,COVID-19 Closure,,false,Not Applicable,"Prospect St., York St. bet. Jay St. and Bridge St.",Bridge Park,POINT (-73.98535126689617 40.700820031843186),Adults Allowed,B223JB-CPA-0001,"16,865",68,2,38,54
,B,Completely Locked,05/21/2020 11:06:48 AM,B332,,true,B332,,COVID-19 Closure,,true,Level 4: Accessible Playgrounds with Transfer Platforms and Ground Level Play Features,Decatur St. to Schaefer St. between Bushwick Ave. and Evergreen Ave.,Evergreen Playground,POINT (-73.91096326792437 40.68597490745017),Adults Allowed,B332-CPA-0001,"17,214",42,2,37,53
,X,Completely Locked,05/21/2020 11:09:45 AM,X092,,true,X092-09,,COVID-19 Closure,,true,Level 4: Accessible Playgrounds with Transfer Platforms and Ground Level Play Features,W 240 St & Broadway,Southwest Plgd,POINT (-73.8983522925338 40.88672288447655),Unknown,X092-CPA-0003,"11,609",27,5,40,33
,Q,Completely Locked,05/21/2020 11:09:08 AM,Q422,,,Q422,,COVID-19 Closure,,true,Level 4: Accessible Playgrounds with Transfer Platforms and Ground Level Play Features,Rockaway Beach Blvd. bet. Beach 110 St. and Beach 109 St.,Seaside Playground,POINT (-73.83103766536544 40.58058236055978),Adults Allowed,Q422-CPA-0001,"20,532",51,3,41,58
,Q,Partially Locked,05/21/2020 11:08:37 AM,Q221,,,Q221,,COVID-19 Closure,,true,Level 4: Accessible Playgrounds with Transfer Platforms and Ground Level Play Features,73 Ave. bet. 195 St. and 196 Pl.,Farm Playground,POINT (-73.77762226862761 40.73629242629045),Adults Allowed,Q221-CPA-0002,"14,507",25,3,16,65
,Q,Completely Locked,05/21/2020 11:10:34 AM,Q471,,,Q471-02,,COVID-19 Closure,,,,,Hunter's Point South Playground (South),POINT (-73.96029913167612 40.74010544435849),,,"16,858",53,3,33,66
,M,Partially Locked,05/21/2020 11:07:47 AM,M237,,true,M237,,COVID-19 Closure,,true,Level 2: Accessible Playgrounds with Ramped Play Equipment and Universally Accessible Swings,Hudson St. bet. Gansevoort St. and Horatio St.,Corporal John A. Seravalli Playground,POINT (-74.00446732734724 40.73898777318035),Adults Allowed,M237-CPA-0001,"12,077",57,4,10,3
,Q,Completely Locked,05/21/2020 11:08:57 AM,Q360J,,,Q360J,,COVID-19 Closure,,true,Level 4: Accessible Playgrounds with Transfer Platforms and Ground Level Play Features,"Queens Midtown Exwy., 57 Ave. bet. 84 St. and 82 St.",Crowley Playground,POINT (-73.880118422406 40.729454586085424),Unknown,Q360J-CPA-0001,"14,784",66,3,5,68
,M,Completely Locked,05/21/2020 11:07:10 AM,M029,,,M029-01,,COVID-19 Closure,,true,Level 4: Accessible Playgrounds with Transfer Platforms and Ground Level Play Features,"M C Plaza, Ft Washington Ave",Jacob Javits Plgd,POINT (-73.9346150786823 40.85882362601722),Adults Allowed,M029-CPA-0001,"13,098",47,4,39,22
,Q,Completely Locked,05/21/2020 11:08:10 AM,Q038,,,Q038,,COVID-19 Closure,,true,Level 4: Accessible Playgrounds with Transfer Platforms and Ground Level Play Features,Madison St. bet. 60 Pl. and Fresh Pond Rd.,Benninger Playground,POINT (-73.89845776319068 40.707103648996245),Adults Allowed,Q038-CPA-0001,"15,310",54,3,34,62
,B,Completely Locked,05/21/2020 11:06:56 AM,B372,,,B372,,COVID-19 Closure,,false,Not Applicable,"Ave. L, E. 4 St., Mcdonald Ave., Ave. M",Friends Field,POINT (-73.97258887667317 40.61864183103399),Unknown,B372-CPA-0001,"13,513",2,2,18,39
,Q,Partially Locked,05/21/2020 11:08:30 AM,Q129,,,Q129,,COVID-19 Closure,,false,Not Applicable,"Atlantic Ave., 95 Ave. bet. 127 St. and 125 St.","Phil ""Scooter"" Rizzuto Park",POINT (-73.82194246096871 40.694257210965425),Unknown,Q129-CPA-0001,"24,015",46,3,46,60
false,X,Not Lockable,05/21/2020 11:09:58 AM,X162,false,,X162,,COVID-19 Closure,,true,Level 4: Accessible Playgrounds with Transfer Platforms and Ground Level Play Features,Arnow Ave. bet. Olinville Ave. and White Plains Rd.,Parkside Playground,POINT (-73.86808184641339 40.868632567563786),Adults Allowed,X162-CPA-0001,"11,605",59,5,22,32
,Q,Partially Locked,05/21/2020 11:09:06 AM,Q404,,,Q404,,COVID-19 Closure,,true,Level 4: Accessible Playgrounds with Transfer Platforms and Ground Level Play Features,115 Rd. bet. 218 St. and 2019 St.,East Springfield Playground,POINT (-73.74004938714423 40.698736062835906),Adults Allowed,Q404-CPA-0001,"15,311",63,3,6,63
,Q,Completely Locked,05/21/2020 11:08:25 AM,Q120,,,Q120,,COVID-19 Closure,,true,Level 4: Accessible Playgrounds with Transfer Platforms and Ground Level Play Features,179 Pl. bet. 90 Ave. and Jamaica Ave.,Harvard Playground,POINT (-73.78167353163634 40.70936950904934),Adults Allowed,Q120-CPA-0001,"24,340",41,3,6,61
,M,Completely Locked,05/21/2020 11:07:50 AM,M256,,,M256,,COVID-19 Closure,,true,Level 4: Accessible Playgrounds with Transfer Platforms and Ground Level Play Features,"E. 48 St. To E. 49 St., FDR",MacArthur Playground,POINT (-73.96511753921995 40.752179794004),Adults Allowed,M256-CPA-0001,"12,079",71,4,51,9
,B,Completely Locked,05/21/2020 11:05:56 AM,B121,,,B121,,COVID-19 Closure,,true,Level 2: Accessible Playgrounds with Ramped Play Equipment and Universally Accessible Swings,Sullican Pl. bet. Rogers Ave. and Nostrand Ave.,Dodger Playground,POINT (-73.95236841864265 40.664983584990715),Adults not allowed in some locations,B121-CPA-0001,"13,509",17,2,48,44
,B,Completely Locked,05/21/2020 11:06:55 AM,B360,,,B360,,COVID-19 Closure,,false,Not Applicable,Remsen Ave. and Glenwood Rd.,Remsen Playground,POINT (-73.9075718203052 40.64203150686178),Adults Allowed,B360-CPA-0001,"13,827",5,2,8,42
,Q,Not Lockable,05/21/2020 11:09:03 AM,Q396,,,Q396,,COVID-19 Closure,,false,Not Applicable,"Springfield Blvd., Sloan St. bet. 139 Ave. and Eastgate Plaza",Montbellier Park,POINT (-73.7567706377545 40.67366315978643),Adults Allowed,Q396-CPA-0001,"15,313",41,3,6,71
,M,Completely Locked,05/21/2020 11:07:28 AM,M108Q,,,M108Q,,COVID-19 Closure,,true,Level 4: Accessible Playgrounds with Transfer Platforms and Ground Level Play Features,"FDR Dr., E. 60 St. To E. 61 St. and York Ave.",Twenty-Four Sycamores Park,POINT (-73.95881050160963 40.75940224218171),Adults Allowed,M108Q-CPA-0001,"12,083",23,4,1,11
,Q,Completely Locked,05/21/2020 11:07:59 AM,Q004,,,Q004-01,,COVID-19 Closure,,false,Not Applicable,Shore Blvd Opp 23 Ave,Charybdis Playground,POINT (-73.92243884443543 40.779816923379634),Adults Allowed,Q004-CPA-0001,"16,859",39,3,4,72
,B,Completely Locked,05/21/2020 11:06:08 AM,B210I,,,B210I,,COVID-19 Closure,,false,Not Applicable,3 Ave. bet. 40 St. and 41 St.,Gonzalo Plasencia Playground,POINT (-74.00806096014698 40.652254060020795),Adults Allowed,B210I-CPA-0001,"13,515",9,2,7,45
,Q,Completely Locked,05/21/2020 11:10:26 AM,Q096C,,,Q096C,,COVID-19 Closure,,,,N. Conduit Ave. bet. 230 Pl. and the Belt Pkwy.,Mentone Playground,POINT (-73.74288409011237 40.66623094940307),,,"15,313",63,3,47,63
,M,Completely Locked,05/21/2020 11:07:02 AM,M010,,,M010-059,,COVID-19 Closure,,true,Level 2: Accessible Playgrounds with Ramped Play Equipment and Universally Accessible Swings,72 St & East Green,East 72nd St Plgd,POINT (-73.967876678849 40.77203907510168),Unknown,M010-CPA-0003,,19,4,19,13
,Q,Completely Locked,05/21/2020 11:09:06 AM,Q407,,,Q407,,COVID-19 Closure,,true,Level 3: Accessible Playgrounds with Universally Accessible Swings,Lanett Ave. bet. Beach 9 St. and Beach 8 St.,Lanett Playground,POINT (-73.74435291868815 40.599511622123764),Adults not allowed in some locations,Q407-CPA-0001,"20,529",51,3,47,59
,M,Completely Locked,05/21/2020 11:07:12 AM,M041,,,M041,,COVID-19 Closure,,true,Level 4: Accessible Playgrounds with Transfer Platforms and Ground Level Play Features,"Hamilton Pl., W. 140 St. To W. 141 St.",Alexander Hamilton Playground,POINT (-73.95116789745151 40.82309371852732),Adults Allowed,M041-CPA-0001,"12,428",37,4,23,19
,M,Partially Locked,05/21/2020 11:07:23 AM,M087,,,M087,,COVID-19 Closure,,true,Level 4: Accessible Playgrounds with Transfer Platforms and Ground Level Play Features,"Riverside Dr., Claremont Ave. To W. 122 St.",Sakura Park,POINT (-73.96253751273696 40.81291607181284),Adults not allowed in some locations,M087-CPA-0001,"12,424",37,4,23,17
,B,Completely Locked,05/21/2020 11:05:38 AM,B008,,,B008-03,,COVID-19 Closure,,true,Level 1: Playgrounds for All Children,Dumont Ave & Bristol St,Imagination Playground at Betsy Head,POINT (-73.9118521695445 40.66407505612062),Adults not allowed in some locations,B008-CPA-0001,"17,614",55,2,17,46
,M,Completely Locked,05/21/2020 11:07:38 AM,M196,,,M196,,COVID-19 Closure,,true,Level 4: Accessible Playgrounds with Transfer Platforms and Ground Level Play Features,Madison St. bet. Catherine St. and Oliver St.,Playground One,POINT (-73.99761186905135 40.712275395538576),Adults Allowed,M196-CPA-0001,"13,096",70,4,32,2
,X,Partially Locked,05/21/2020 11:09:52 AM,X147A,,,X147A-01,,COVID-19 Closure,,false,Not Applicable,"Sheridan Exwy, Bronx River, S/o E 174 St Bridge",Starlight Park Playground,POINT (-73.8820320094127 40.834373989347455),Adults not allowed in some locations,X147A-CPA-0001,"10,937",58,5,43,26
,M,Completely Locked,05/21/2020 11:07:42 AM,M213,,,M213,,COVID-19 Closure,,true,Level 4: Accessible Playgrounds with Transfer Platforms and Ground Level Play Features,"N/s E. 104 St., Madison Ave. and Park Ave.",Mae Grant Playground,POINT (-73.94962355905972 40.792469308207465),Adults Allowed,M213-CPA-0001,"12,426",7,4,35,14
,B,Completely Locked,05/21/2020 11:06:21 AM,B248,,,B248,,COVID-19 Closure,,false,Not Applicable,Ave. H between E. 54 St. to E. 55 St.,Fox Playground,POINT (-73.92402490170589 40.632887131467754),Adults Allowed,B248-CPA-0001,"13,825",5,2,8,38
,X,Completely Locked,05/21/2020 11:10:35 AM,X118,,,X118-02,true,COVID-19 Closure,,,,,Soundview Playground,POINT (-73.87053880353446 40.81819173351976),,,"11,611",58,5,31,26
,M,Completely Locked,05/21/2020 11:07:06 AM,M014,,,M014-02,,COVID-19 Closure,,true,Level 2: Accessible Playgrounds with Ramped Play Equipment and Universally Accessible Swings,W 152 St & Bradhurst Ave,Plgd One Fifty Two CLII,POINT (-73.9397270327655 40.828198291806636),Adults Allowed,M014-CPA-0001,"12,428",18,4,36,19
,X,Completely Locked,05/21/2020 11:10:10 AM,X257,,,X257,,COVID-19 Closure,,true,Level 4: Accessible Playgrounds with Transfer Platforms and Ground Level Play Features,E. 177 St. at Walton Ave.,Mount Hope Playground,POINT (-73.90952596761933 40.85020604623722),Adults not allowed in some locations,X257-CPA-0001,"10,931",6,5,29,29
,X,Completely Locked,05/21/2020 11:09:47 AM,X104,,,X104-03,,COVID-19 Closure,,true,Level 4: Accessible Playgrounds with Transfer Platforms and Ground Level Play Features,Reservoir Oval West,Williamsbridge Oval,POINT (-73.87714657651055 40.878606385638086),Adults not allowed in some locations,X104-CPA-0003,"11,605",24,5,40,34
,B,Completely Locked,05/21/2020 11:05:50 AM,B073,,,B073-20,,COVID-19 Closure,,true,Level 2: Accessible Playgrounds with Ramped Play Equipment and Universally Accessible Swings,11 St & Prospect Park W,Harmony Playground,POINT (-73.9769926906666 40.66354163685454),Unknown,B073-CPA-0006,,13,2,27,50
,Q,Completely Locked,05/21/2020 11:08:53 AM,Q347,,,Q347,,COVID-19 Closure,,true,Level 4: Accessible Playgrounds with Transfer Platforms and Ground Level Play Features,Union St. bet. 31 Rd. and 31 Dr.,Colden Playground,POINT (-73.82699866319749 40.77015015641377),Adults Allowed,Q347-CPA-0001,"13,832",22,3,3,67
true,B,Completely Locked,05/21/2020 02:41:00 PM,B028,true,,B028-01,,COVID-19 Closure,,true,Level 4: Accessible Playgrounds with Transfer Platforms and Ground Level Play Features,Cropsey & Bay 8,Bay 8 Playground,POINT (-74.01619801789985 40.606789517408714),Unknown,B028-CPA-0001,"17,216",10,2,44,41
,B,Completely Locked,05/21/2020 11:10:31 AM,B129,,,B129-01,,COVID-19 Closure,,,,,Leon S Kaiser Playground,POINT (-73.99535283290598 40.578196438047165),,,"18,184",21,2,45,35
,Q,Completely Locked,05/21/2020 11:08:36 AM,Q212,,,Q212,,COVID-19 Closure,,true,Level 4: Accessible Playgrounds with Transfer Platforms and Ground Level Play Features,137 St. bet. 76 Ave. and 76 Rd.,Queens Valley Playground,POINT (-73.82399404842046 40.721776601987834),Adults Allowed,Q212-CPA-0001,"14,509",25,3,24,65
,M,Completely Locked,05/21/2020 11:07:52 AM,M265,,,M265,,COVID-19 Closure,,true,Level 4: Accessible Playgrounds with Transfer Platforms and Ground Level Play Features,2 Ave. bet. E. 29 St. and E. 30 St.,Vincent F. Albano Jr. Playground,POINT (-73.97843761329177 40.741930806028314),Adults Allowed,M265-CPA-0001,"12,078",71,4,50,7
,M,Completely Locked,05/21/2020 11:07:44 AM,M218,,,M218,,COVID-19 Closure,,true,Level 4: Accessible Playgrounds with Transfer Platforms and Ground Level Play Features,Spring St. and Mulberry St.,DeSalvio Playground,POINT (-73.99622056159414 40.721627236577),Adults Allowed,M218-CPA-0001,"12,075",57,4,32,2
true,M,Partially Locked,05/21/2020 11:07:39 AM,M198,true,,M198,,COVID-19 Closure,,true,Level 1: Playgrounds for All Children,"Lenox Ave, W. 113 St. To W. 114 St.","Martin Luther King, Jr. Playground",POINT (-73.95023374409388 40.80045513359205),Unknown,M198-CPA-0001,"12,423",18,4,36,18
,B,Completely Locked,05/21/2020 11:10:20 AM,B167A,,,B167A,,COVID-19 Closure,,,,"S. 5 St., Broadway, Havemeyer St.",La Guardia Playground,POINT (-73.95917250215956 40.70991500503356),,,"17,613",36,2,30,56
,Q,Not Lockable,05/21/2020 11:08:11 AM,Q048,,,Q048-01,,COVID-19 Closure,,true,Level 4: Accessible Playgrounds with Transfer Platforms and Ground Level Play Features,34 Ave & Vernon Blvd,Rainey Park Playground,POINT (-73.94136983303204 40.76566329538724),Adults not allowed in some locations,Q048-CPA-0001,"16,863",39,3,33,72
,X,Completely Locked,05/21/2020 11:10:23 AM,X138,true,,X138,,COVID-19 Closure,,,,E. 133 St. and Bruckner Blvd. bet. St Ann's Pl. and Cypress Ave.,Playground One Thirty Four CXXXIV,POINT (-73.91821831664133 40.803583522673065),,,"10,932",49,5,35,23
true,B,Partially Locked,05/21/2020 11:06:17 AM,B230,true,,B230,,COVID-19 Closure,,true,Level 3: Accessible Playgrounds with Universally Accessible Swings,Wyckoff St. between Hoyt St. and Bond St.,Nicholas Naquan Heyward Jr. Park,POINT (-73.9882634861491 40.68465952210192),Adults not allowed in some locations,B230-CPA-0001,"17,619",14,2,38,48
,B,Completely Locked,05/21/2020 11:06:24 AM,B255C,,,B255C,,COVID-19 Closure,,false,Not Applicable,17 St. bet. 5 Ave. and 6 Ave.,Purple Playground,POINT (-73.98982428639522 40.66317430837572),Adults Allowed,B255C-CPA-0001,"17,617",9,2,7,45
,B,Completely Locked,05/21/2020 11:06:27 AM,B264,,,B264,,COVID-19 Closure,,true,Level 4: Accessible Playgrounds with Transfer Platforms and Ground Level Play Features,Lee Ave. between Wilson St. and Taylor St.,Roebling Playground,POINT (-73.96228234059411 40.706112517254326),Adults Allowed,B264-CPA-0001,"17,613",36,2,38,56
,R,Completely Locked,05/21/2020 11:09:30 AM,R144,,,R144,,COVID-19 Closure,,false,Not Applicable,"Bowen St., Vanderbilt Ave., Targee St.",Sobel Court Park,POINT (-74.08322829516628 40.61479777192531),Adults not allowed in some locations,R144-CPA-0001,"10,691",4,1,13,74
true,Q,Partially Locked,05/21/2020 11:08:28 AM,Q127,true,,Q127,,COVID-19 Closure,true,false,Not Applicable,"157 St., 155 St. bet. 108 Ave. and 109 Ave.",Marconi Park,POINT (-73.79585112276818 40.69317249688936),Adults not allowed in some locations,Q127-CPA-0001,"24,668",41,3,46,61
false,X,Not Lockable,05/21/2020 11:09:34 AM,X010,false,,X010-05,,COVID-19 Closure,,true,Level 2: Accessible Playgrounds with Ramped Play Equipment and Universally Accessible Swings,"Crotona Pk E, E 173 St",Hill & Dale Playground,POINT (-73.89064942604864 40.837357264674495),Adults Allowed,X010-CPA-0004,,34,5,43,25
,M,Completely Locked,05/21/2020 11:07:34 AM,M155,,,M155,,COVID-19 Closure,,true,Level 2: Accessible Playgrounds with Ramped Play Equipment and Universally Accessible Swings,"5 Ave., W. 130 St. To .W 131 St.",Courtney Callender Playground,POINT (-73.93997742498641 40.810115167769666),Adults Allowed,M155-CPA-0001,"13,095",18,4,36,20
,Q,Completely Locked,05/21/2020 11:08:33 AM,Q163,,,Q163-20,,COVID-19 Closure,,true,Level 2: Accessible Playgrounds with Ramped Play Equipment and Universally Accessible Swings,B 82 St & Shore Front Pkwy (W/o B 82 St),Rockaway Playground - N,POINT (-73.80860052120337 40.58539979043849),Unknown,Q163-CPA-0002,"20,531",51,3,41,58
,X,Completely Locked,05/21/2020 11:10:04 AM,X197,,,X197,,COVID-19 Closure,,false,Not Applicable,Mosholu Parkway South bet. Bainbridge Ave. and Briggs Ave.,Mosholu Playground,POINT (-73.88296859659455 40.87279003343103),Adults Allowed,X197-CPA-0001,"10,936",24,5,40,34
,Q,Completely Locked,05/21/2020 11:08:58 AM,Q366,,,Q366,,COVID-19 Closure,,true,Level 3: Accessible Playgrounds with Universally Accessible Swings,25 Ave. bet. 76 St. and 77 St.,Louis C. Moser Playground,POINT (-73.8920636229262 40.76270463819831),Adults Allowed,Q366-CPA-0001,"14,781",65,3,4,73
,M,Completely Locked,05/21/2020 11:07:56 AM,M308,,,M308,,COVID-19 Closure,,true,Level 4: Accessible Playgrounds with Transfer Platforms and Ground Level Play Features,Chambers St. bet. Greenwich St. and West St.,Washington Market Park,POINT (-74.01104731538418 40.717050558770474),Adults not allowed in some locations,M308-CPA-0001,"12,076",56,4,32,1
,B,Partially Locked,05/21/2020 11:06:00 AM,B151,true,,B151,,COVID-19 Closure,,true,Level 2: Accessible Playgrounds with Ramped Play Equipment and Universally Accessible Swings,Dahill Rd. bet. 37 St. and 38 St.,Dome Playground,POINT (-73.98063189080365 40.63844822718989),Adults Allowed,B151-CPA-0001,"17,620",2,2,27,39
,Q,Completely Locked,05/21/2020 11:07:59 AM,Q005,,,Q005-04,,COVID-19 Closure,,true,Level 2: Accessible Playgrounds with Ramped Play Equipment and Universally Accessible Swings,Lakeview Lane & 122 Ave,Lakeview Lane Playground,POINT (-73.78236503509993 40.67772779557636),Unknown,Q005-CPA-0002,"24,669",41,3,46,71
,X,Completely Locked,05/21/2020 11:10:08 AM,X219,,,X219,,COVID-19 Closure,,true,Level 4: Accessible Playgrounds with Transfer Platforms and Ground Level Play Features,E 164 St bet. Teller Av and Clay Av at Park Ave,Arcilla Playground,POINT (-73.91453069454563 40.82729461229759),Adults Allowed,X219-CPA-0001,"10,934",50,5,43,27
,Q,Completely Locked,05/21/2020 11:08:20 AM,Q099,,,Q099-18,,COVID-19 Closure,,true,Level 1: Playgrounds for All Children,111 St & Saultell & 56 Aves,Playground For All Children,POINT (-73.84895366532423 40.74118810198358),Unknown,Q099-CPA-0005,"14,510",67,3,21,68
,X,Completely Locked,05/21/2020 11:09:38 AM,X034,,,X034-06,,COVID-19 Closure,,true,Level 3: Accessible Playgrounds with Universally Accessible Swings,Cromwell Ave & McClellan St,Mullaly Plgd (2),POINT (-73.92335523430893 40.8342762183861),Adults not allowed in some locations,X034-CPA-0002,"10,930",50,5,42,27
,M,Completely Locked,05/21/2020 11:07:19 AM,M071,,,M071-31,,COVID-19 Closure,,true,Level 4: Accessible Playgrounds with Transfer Platforms and Ground Level Play Features,W 124 St & Riverside Dr,Claremont,POINT (-73.9620833112149 40.81504194595486),Unknown,M071-CPA-0008,"12,421",37,4,23,17
,B,Completely Locked,05/21/2020 11:05:51 AM,B078,,,B078,,COVID-19 Closure,,true,Level 4: Accessible Playgrounds with Transfer Platforms and Ground Level Play Features,Vermont St. bet. Pitkin Ave. and Belmont Ave.,Grace Playground,POINT (-73.89450017182706 40.67188242569933),Adults Allowed,B078-CPA-0001,"17,214",45,2,25,47
,M,Completely Locked,05/21/2020 11:07:16 AM,M058,,,M058-01,,COVID-19 Closure,,true,Level 4: Accessible Playgrounds with Transfer Platforms and Ground Level Play Features,E 121st & Madison Ave,Mt. Morris East,POINT (-73.94328844625036 40.80329122292206),Unknown,M058-CPA-0001,"13,093",7,4,36,16
,B,Completely Locked,05/21/2020 11:06:07 AM,B208,,,B208,,COVID-19 Closure,,true,Level 4: Accessible Playgrounds with Transfer Platforms and Ground Level Play Features,Nostrand Ave. bet. Kings Hwy. and Ave. P,Pfc Norton Playground,POINT (-73.94497009980635 40.61463671058221),Adults Allowed,B208-CPA-0001,"13,512",32,2,26,36
,Q,Completely Locked,05/21/2020 11:09:07 AM,Q415,,,Q415,,COVID-19 Closure,,false,Not Applicable,37 Av bet. 112 and 113 Sts,Louis Armstrong Playground,POINT (-73.8553087514092 40.75475078252132),Adults Allowed,Q415-CPA-0001,"14,510",65,3,21,73
,M,Completely Locked,05/21/2020 11:07:48 AM,M241,,,M241,,COVID-19 Closure,,true,Level 4: Accessible Playgrounds with Transfer Platforms and Ground Level Play Features,Rivington St. and Attorney St. bet. Clinton St. and Ridge St.,Nathan Straus Playground,POINT (-73.9841680274137 40.719658017469314),Adults Allowed,M241-CPA-0001,"11,723",70,4,32,4
,Q,Partially Locked,05/21/2020 11:08:12 AM,Q053,,,Q053,,COVID-19 Closure,,true,Level 2: Accessible Playgrounds with Ramped Play Equipment and Universally Accessible Swings,88 Ave. to 89 Ave. at 90 St.,Equity Playground,POINT (-73.85341614756797 40.69172378651618),Adults Allowed,Q053-CPA-0001,"24,017",46,3,41,60
,B,Completely Locked,05/21/2020 11:06:58 AM,B397,,,B397,,COVID-19 Closure,,true,Level 4: Accessible Playgrounds with Transfer Platforms and Ground Level Play Features,Christopher Ave. between Sutter Ave. and Belmont Ave.,Carter G. Woodson Children's Park,POINT (-73.90582698398943 40.66823796927114),Adults Allowed,B397-CPA-0001,"17,614",55,2,17,46
,B,Completely Locked,05/21/2020 11:06:12 AM,B219,,,B219,,COVID-19 Closure,,false,Not Applicable,"Fulton St., Truxton St., bet. Eastern Pkwy. and Van Sinderen Ave.",Callahan-Kelly Playground,POINT (-73.90582822917736 40.67838532126272),Adults Allowed,B219-CPA-0002,"13,516",55,2,37,46
,X,Completely Locked,05/21/2020 11:09:36 AM,X017,,,X017-02,,COVID-19 Closure,,true,Level 2: Accessible Playgrounds with Ramped Play Equipment and Universally Accessible Swings,"E 178 St & Ryer Ave, Upper Level",Richman (Echo) Park Upper,POINT (-73.90191027147529 40.84958675970502),Adults Allowed,X017-CPA-0001,"10,935",6,5,22,29
,X,Completely Locked,05/21/2020 11:10:02 AM,X190,,,X190,,COVID-19 Closure,,true,Level 2: Accessible Playgrounds with Ramped Play Equipment and Universally Accessible Swings,Fox St to Tiffany St bet. E 167 St and E 165 St,Tiffany Playground,POINT (-73.8941536709528 40.82454572073554),Adults Allowed,X190-CPA-0001,"10,937",8,5,43,24
,B,Completely Locked,05/21/2020 11:05:51 AM,B087,,,B087-01,,COVID-19 Closure,,false,Not Applicable,6 Ave Bet 41 & 44 Sts,Sunset Park Playground,POINT (-74.00457956783633 40.64767850656325),Unknown,B087-CPA-0001,,9,2,7,45
,Q,Partially Locked,05/21/2020 11:08:57 AM,Q360N,,,Q360N,,COVID-19 Closure,,true,Level 4: Accessible Playgrounds with Transfer Platforms and Ground Level Play Features,Hoffman Dr. bet. 58 Ave. and Woodhaven Blvd.,Hoffman Park,POINT (-73.8713360615312 40.732814654337595),Adults Allowed,Q360N-CPA-0001,"14,784",66,3,5,68
,B,Completely Locked,05/21/2020 11:06:28 AM,B265,,,B265,,COVID-19 Closure,,true,Level 4: Accessible Playgrounds with Transfer Platforms and Ground Level Play Features,6 Ave. bet. 55 St. and 56 St.,Rainbow Playground,POINT (-74.01113153760475 40.640414731948034),Adults Allowed,B265-CPA-0001,"18,180",9,2,7,45
,B,Completely Locked,05/21/2020 11:06:55 AM,B362,,,B362,,COVID-19 Closure,,true,Level 3: Accessible Playgrounds with Universally Accessible Swings,Chester St. to Bristol St. between Sutter Ave. and Pitkin Ave.,Chester Playground,POINT (-73.91219217552003 40.66877795615999),Adults Allowed,B362-CPA-0001,"17,614",55,2,17,46
,M,Completely Locked,05/21/2020 11:07:46 AM,M234,,,M234,,COVID-19 Closure,,true,Level 4: Accessible Playgrounds with Transfer Platforms and Ground Level Play Features,St Nicholas Ave. and W. 156 St.,Wright Brothers Playground,POINT (-73.94150369235838 40.83156870129957),Adults Allowed,M234-CPA-0001,"13,090",47,4,23,21
true,M,Partially Locked,05/21/2020 11:07:14 AM,M045,true,true,M045,,COVID-19 Closure,true,true,Level 3: Accessible Playgrounds with Universally Accessible Swings,"FDR Dr., E 76 St. To E 78 St.",John Jay Park,POINT (-73.94949284729812 40.76954113081193),Adults not allowed in some locations,M045-CPA-0001,"10,092",23,4,1,11
,B,Completely Locked,05/21/2020 11:05:54 AM,B103,,,B103,,COVID-19 Closure,,true,Level 4: Accessible Playgrounds with Transfer Platforms and Ground Level Play Features,Euclid Ave. bet. Dumont Ave. and Blake Ave.,Cypress Hills Playground,POINT (-73.87119967401219 40.6707001799539),Adults Allowed,B103-CPA-0001,"17,215",45,2,25,47
,B,Completely Locked,05/21/2020 11:06:41 AM,B306,,,B306,,COVID-19 Closure,,true,Level 2: Accessible Playgrounds with Ramped Play Equipment and Universally Accessible Swings,Ave. Y between Brown St. and Haring St.,Playground 286,POINT (-73.9383362481649 40.59073210857797),Adults Allowed,B306-CPA-0001,"13,826",32,2,15,36
,B,Completely Locked,05/21/2020 11:05:54 AM,B100,,,B100,,COVID-19 Closure,,true,Level 4: Accessible Playgrounds with Transfer Platforms and Ground Level Play Features,W. 12 St. bet. Bay Pkwy. and Ave. P,Seth Low Playground/ Bealin Square,POINT (-73.98602436614726 40.60854525801554),Adults not allowed in some locations,B100-CPA-0001,"16,867",1,2,18,37
,Q,Partially Locked,05/21/2020 11:08:07 AM,Q021C,,,Q021C,,COVID-19 Closure,,true,Level 2: Accessible Playgrounds with Ramped Play Equipment and Universally Accessible Swings,"210 St., Oceania St. bet. the Long Island Exwy. and 64 Ave.",Seven Gables Playground,POINT (-73.76610327334569 40.7438685253691),Adults Allowed,Q021C-CPA-0001,"14,506",26,3,16,69
,Q,Completely Locked,05/21/2020 11:09:10 AM,Q439,,,Q439,,COVID-19 Closure,,true,Level 2: Accessible Playgrounds with Ramped Play Equipment and Universally Accessible Swings,98 St. bet. Northern Blvd. and 32 Ave.,Private William Gray Playground,POINT (-73.87092755800535 40.75787704008547),Adults Allowed,Q439-CPA-0001,"14,511",65,3,21,73
